sample,condition,expression,log2FoldChange,FDR
TLE1,TLE,5.914829639959425,2.949927398410264,8.096612074895032e-06
TLE2,TLE,5.695230842980737,2.949927398410264,8.096612074895032e-06
TLE3,TLE,5.181387112358008,2.949927398410264,8.096612074895032e-06
Ctrl1,TL,4.109794616198937,2.949927398410264,8.096612074895032e-06
Ctrl2,TL,3.5079812507391925,2.949927398410264,8.096612074895032e-06
Ctrl3,TL,3.2509011827721186,2.949927398410264,8.096612074895032e-06
